question,answer
What is a characteristic humans developed over their evolutionary history?,"Traits such as bipedalism, dexterity, and complex language"
When did primates diverge from other mammals?,About 85 million years ago (mya)
When did hominins part from the Gorillini tribe?,Between 8 and 9 million years ago
When did anatomically modern humans emerge?,"approximately 300,000 years ago"
Where did a lineage leading to African apes and humans migrate from according to David R. Begun's conclusion?,Europe or Western Asia
What is the geographic location where the surviving tropical population of primates was found in fossil beds?,The Faiyum depression southwest of Cairo
What was the age of the earliest known catarrhine?,24 million years ago
What was the estimated age of Saadanius when it was first described in 2010?,29-28 million years ago
What is the age of fossils that include fragments attributed to Victoriapithecus?,20 million years ago
What is mentioned as evidence of a wide diversity of primates during the Early and Middle Miocene?,The presence of other generalized non-cercopithecids from sites far distant
What is the age of the coal beds in Italy where Oreopithecus was found?,9 million years ago
When did the lineage of orangutans diverge from that of other great apes?,12 million years ago
"When did hominins, including humans and Australopithecine, separate from the Gorillini tribe?",Between 8 and 9 million years ago
When did anatomically modern humans emerge in Africa?,"approximately 300,000 years ago"
What percentage of DNA do humans share with chimpanzees?,98.4%
When did the equatorial belt contract?,Around 8 million years ago
What is the age of Sahelanthropus tchadensis?,7 Ma
"What is a characteristic of Ar. ramidus skull morphology, according to the study?",juvenilealised or paedomorphic craniofacial morphology
What primate species are authors arguing against using as models for early hominin social evolution?,Chimpanzee
What is one key difference between Ar. ramidus and bonobos?,"ramidus has a functional canine honing complex, whereas bonobos do not"
What do authors argue about the evolutionary history of humans?,"That many of the basic human adaptations evolved in the ancient forest and woodland ecosystems of late Miocene and early Pliocene Africa, rather than evolving from a chimpanzee-like ancestor."
When did the genus Australopithecus evolve?,around 4 million years ago
What is another term for Australopithecus robustus and Australopithecus boisei?,Robust australopiths
What is the name of the proposed new species that is claimed to have lived at the same time period as A. afarensis?,Australopithecus deyiremeda
What is the estimated age of the earliest documented representative of the genus Homo?,around 2 million years old
When did the earliest species with positive evidence of stone tool use exist?,.8 million years ago
What was the estimated cranial capacity of Homo erectus and Homo ergaster?,850 cm3
When did modern humans migrate out of Africa?,"some 50,000 to 100,000 years ago"
What was the time period during which Archaic Homo sapiens evolved?,"Between 400,000 and 250,000 years ago"
What percentage of the human genome is thought to have originated from Neanderthals and other hominins?,6%
"When did the transition to behavioral modernity with the development of symbolic culture, language, and specialized lithic technology occur?","around 50,000 years ago"
Is there consensus among scientists on which extinct Homo species are direct ancestors of Homo sapiens?,No
What is one explanation for intermittent migration and speciation in the genus Homo?,The Sahara pump theory
What is the estimated time period when the supereruption of Lake Toba occurred?,"70,000 years ago"
When did Homo habilis evolve?,2.5-2 Ma
What is the name given to this early human species by its discoverer Louis Leakey?,Homo habilis
When did the first fossils of Homo erectus get discovered?,1891
What was the name originally given by the scientist to the fossil primate?,Anthropopithecus erectus
What was the name given to the species of Homo by Franz Weidenreich in 1940?,H. erectus
What was the approximate time range during which Homo erectus lived?,"From about 1.8 Ma to about 70,000 years ago"
What is one of the characteristics that distinguish Homo erectus from H. ergaster?,the skeletal and dental requirements
What is Richard Wrangham's hypothesis for what adaptation separated Homo from tree-sleeping Australopithecines?,Control of fire and cooking
What was the time period during which H. heidelbergensis lived?,"From about 800,000 to about 300,000 years ago"
What is one anatomical difference between anatomically modern humans and Neanderthal specimens?,Neanderthals had a lower surface-to-volume ratio than modern humans
What is suggested to be one advantage Neanderthals had over modern humans in terms of visual acuity?,better visual acuity
What is the estimated size of Neanderthal social groups?,120 individuals
What is the estimated year when modern Homo sapiens replaced Neanderthal populations?,"28,000 BP"
"What percentage of the genome of a 40,000-year-old human skeleton from Romania was found to be Neanderthal?",11%
What percentage of modern non-African humans' DNA is derived from Neanderthals?,1% to 4%
How long could Neanderthals and AMH Homo sapiens have co-existed in Europe?,"10,000 years"
What is the approximate age that the artifacts found in the cave were carbon dated to?,"40,000 BP"
What is believed to be the relationship between the DNA of Denisovans and Neanderthals?,"They belong to the same lineage, with Denisovans and Neanderthals diverging shortly after their line split from the lineage that gave rise to modern humans"
How long did modern humans possibly overlap with Neanderthals in Europe and the Near East?,"more than 40,000 years"
What percentage of DNA found in some modern Melanesians is believed to have originated from Denisovans?,6%
Is there an association between the presence of Neanderthal DNA segments and a higher rate of depression?,Yes
What is the relationship between Siberian Neanderthal genomes and modern human genes?,More similar
What is the approximate time frame when Neanderthal populations interbred with modern humans?,"100,000 years ago"
How old is the H. floresiensis skeleton found in 2003?,"approximately 18,000 years old"
What is the average brain volume of a Homo sapiens?,1400 cm3
What is one piece of evidence supporting the hypothesis that Homo floresiensis was a separate species?,"The fact that some modern humans who live on Flores, where the skeleton was found, are pygmies."
What anatomical features are unlike those of modern humans but similar to those of ancient members of the human genus?,"The form of bones in the wrist, forearm, shoulder, knees, and feet"
What year did fossil teeth and a partial jaw from hominins assumed to be ancestral to H. floresiensis were discovered?,2016
When did H. sapiens emerge?,"Africa around 300,000 years ago"
When did scientists suggest that modern humans arose?,"between 260,000 and 350,000 years ago"
What is the estimated time frame when the trend in intra-cranial volume expansion and the elaboration of stone tool technologies developed?,"Between 400,000 years ago and 250,000 years ago"
What is the commonly referred to migration and origin theory of Homo sapiens?,The 'recent single-origin hypothesis' or 'out of Africa' theory
"When was the proposal to suggest that Homo sapiens evolved around 70,000 years ago?",In the 1990s
What is one of the significant human adaptations discovered during the Pleistocene era?,Bipedalism
"What is the estimated time period when Sahelanthropus and Orrorin, the earliest hominin, arose?",6 to 7 million years ago
"When did Ardipithecus, a full biped, arise?",Approximately 5.6 million years ago
What was one advantage of bipedalism that helped humans thrive in their new environment?,saved energy during locomotion
What was one of the changes that occurred in the gait of early humans?,The lengthening of the legs proportionately when compared to the length of the arms
What is one skeletal change that occurred as a result of the evolution of bipedalism?,The shape of the big toe
What is one of the ways in which the human spine changed as a result of evolving to an upright position?,It became S-shaped
What is one significant change that occurred in the pelvic region of bipedal hominids?,The long downward-facing iliac blade was shortened and widened
What is the limitation on the widening of the birth canal in bipedal apes?,Further increase can hinder normal bipedal movement
What is the required position of the fetal head during entry into the human birth canal?,Transverse
What is the approximate age by which human offspring can start walking?,12 months
What is one way in which the human reproductive cycle was affected?,The increased brain growth after birth and the increased dependency of children on mothers had a major effect upon the female reproductive cycle.
What is the approximate volume of a human brain compared to that of a chimpanzee or gorilla?,nearly three times
What was the brain size of Homo habilis?,600 cm3 (37 cu in)
What was the primary factor that led to the increase in brain size in humans?,"A dependency on calorie-dense, difficult-to-acquire food."
When did early humans develop their present-day brain shape?,"Between 100,000 and 35,000 years ago"
What factor has been proposed to have contributed to the increase in intelligence?,the increased necessity for solving social problems as human society became more complex
What is one function of the cerebellum?,Balance
What was the major brain change from Homo erectus to Homo heidelbergensis?,Not accompanied by major changes in technology
What is one way humans are unique compared to other animals?,The ability to acquire information through social transmission
What is a primary visible difference between human sexual dimorphism and that of other ape species?,The reduced degree of male canine tooth relative to other ape species (except gibbons)
What is the approximate percentage by which human males are larger than females?,15%
What is unique to the genus Homo?,The ulnar opposition—the contact between the thumb and the tip of the little finger of the same hand
What characteristic of the human thumb allows for precision and power grip?,Ulnar opposition
What is the ratio of eccrine sweat gland density in humans compared to other catarrhinian primates?,ten times higher
What is one difference between humans and chimps/gorillas?,Humans use 50% less water per day compared to chimps and gorillas.
What was one side effect of the adaptation of the human hand and arms to making tools?,"The ability to throw objects with greater force, speed and accuracy"
What is the average amount of energy consumed by the brain of a modern human?,260 kilocalories per day
What is the approximate time period when early australopithecines are thought to have possibly used broken bones as tools?,4 million years ago (Ma)
What is the estimated age of the oldest known tools?,3.3 million years ago
What is the unique feature of the human hand bone that enables the creation and use of complex tools?,The third metacarpal styloid process
What anatomical feature distinguishes humans from other apes and nonhuman primates?,The ability to speak
Who argued that both Homo and Paranthropus species were toolmakers based on the anatomy of opposable thumbs?,Randall Susman
What was the main difference in thumb anatomy found by Susman between humans and chimpanzees?,The presence of 3 additional muscles in humans compared to chimpanzees
What are some examples of cultural and behavioral traits described by anthropologists for modern human behavior?,"specialization of tools, use of jewellery and images (such as cave drawings), organization of living space, rituals (such as grave gifts), specialized hunting techniques, exploration of less hospitable geographical areas, and barter trade networks"
What was the approximate time period during which stone tools progressed stepwise?,"50,000-40,000 years ago"
What was the time period when human culture started to evolve more rapidly?,"Around 50,000 BP"
When did the transition to modernity occur?,Sooner than previously believed
When did the Australian Aboriginal population separate from the African population?,"75,000 years ago"
"What is one technology that humans developed around 50,000 years ago?",hunting with more sophisticated techniques (such as using pit traps or driving animals off cliffs)
What is a characteristic of the older H. neanderthalensis populations?,They did not vary in their technologies
When did human populations start undergoing significant lifestyle changes such as urbanization?,"approximately 5,000 years ago"
How many years ago did civilization develop?,"5,000"
What is an example of a superficial characteristic that has evolved due to differences in climate?,Afro-textured hair
What is the estimated time frame for the evolution of EPAS1 in Tibetans?,"3,000 years"
What is the genetic variant responsible for the over-representation in the population at risk of kuru?,G127V
What is the expected outcome of PCOS on fertility?,reduces fertility
What is an example of a recent human evolution related to agriculture?,Genetic resistance to infectious disease that has appeared in human populations by crossing the species barrier from domesticated animals
What is an example of how cultural evolution can defy the expectations of natural selection?,"The observed selection for producing children at older ages due to the advent of effective contraception, higher education, and changing social norms"
What is one way to explain the high rate of recent human brain expansion?,"A kind of feedback whereupon the brain's increased social learning efficiency encourages cultural developments that in turn encourage more efficiency, which drive more complex cultural developments that demand still-greater efficiency"
"What type of evolution is observed in the archaeological record, connecting to culturally-driven cognitive development?",Culturally-driven evolution
What is the Latin meaning of the biological genus to which humans belong?,Human
What is the origin of the Latin word 'homo'?,"The Indo-European root *dhghem, or 'earth'"
When was Charles Darwin's On the Origin of Species published?,1859
Who published a book called 'Evidence as to Man's Place in Nature' in 1863?,T.H. Huxley
In what year did Darwin apply the theory of evolution and sexual selection to humans?,1871
When were Neanderthal remains first discovered?,1856
Who described Australopithecus africanus in 1925?,Raymond Dart
What was unique about the shape of the Taung Child's brain compared to chimpanzees and gorillas?,"It was rounded, unlike that of chimpanzees and gorillas"
What region in East Africa was the site of numerous fossil discoveries by the Leakey family during the 1960s and 1970s?,Olduvai Gorge and Lake Turkana
"Where was 'Lucy', the most complete fossil member of the species Australopithecus afarensis, found?",Hadar in the desertic Afar Triangle region of northern Ethiopia
What was Lucy classified as?,Australopithecus afarensis
What was the nickname given to a specimen found in the Afar Triangle area?,Lucy
In what year were fossil skeletons of Homo naledi found in South Africa's Cradle of Humankind region?,2013
What is unique about the skeletal anatomy of this species?,It combines primitive features known from australopithecines with features known from early hominins.
When did the fossils date back to?,"250,000 years ago"
What is the strength of the reaction expressed numerically?,Immunological distance (ID)
When did Sarich and Wilson estimate the divergence time of humans and apes in their 1967 paper?,Four to five million years ago
What type of DNA was sequenced after mitochondrial DNA in the context of studying human origins?,Y-chromosome DNA (Y-DNA)
How many mutations per generation did earlier studies suggest were not inherited by human children from their parents?,76
What is the average age of reproduction for wild chimpanzee populations?,26.5 years
What is the age of Ardipithecus?,4.5 million years
What was the year when analysis of the two species' genes provided evidence of interspecies mating between 'proto-human' and 'proto-chimpanzees'?,2006
What is the age of the bipedal hominin Orrorin tugenensis discovered in 2000?,6 million years ago
When did Brunet argue a bipedal species was a hominin?,.2 million years ago
"How many times did the genus Homo migrate out of Africa, according to the Sahara pump theory?",At least three
What is the estimated age of human artifacts found in the Siwalk Hills north of New Delhi?,At least 2.6 million years
When did modern humans leave Africa?,.48 million years ago
Who proposed the multiregional hypothesis in 1988?,Milford H. Wolpoff
When did the speciation of Homo sapiens occur?,"Approximately 200,000 years ago"
What does the sequencing of mtDNA and Y-DNA reveal about the origins of human populations?,Ancestral information relating to both male and female genetic heritage
"According to genealogy trees constructed using mtDNA, how many types of mtDNA were analyzed?",133
What was found to be the ancestral population cluster with the greatest genetic diversity among 113 distinct populations?,The San people
What type of DNA studies support a Recent African origin for modern humans?,"Y-chromosomal DNA, mitochondrial DNA, and autosomal DNA"
What percentage of Neanderthal alleles do modern human groups outside Africa typically have in their genome?,1-4%
What is believed to have caused a genetic bottleneck in human evolution?,The Toba supervolcano catastrophe
What is a known location where Denisovans interbred with African descendants?,Southeastern Asia
What is one of the theories that explains how humans spread out of Africa?,A multiple dispersal model
When did modern humans cross the Bab el Mandib from the Horn of Africa?,"around 70,000 years ago"
What is the approximate time period when a second wave of humans may have dispersed through the Persian Gulf oases and the Middle East?,"around 50,000 years BP"
What is suggested to be a characteristic of the second group compared to the original group?,More sophisticated 'big game hunting' tool technology
"What is supported by studies indicating the presence of the same mitochondrial DNA L3 lineages in Eurasia, Southeast Asia, and Oceania?",A single migration out of Africa that gave rise to all non-African populations
When may have occurred the second dispersal of modern human big-game hunting cultures?,"about 50,000 years before the present"
What is the estimated time range for the migration of modern non-African populations out of Africa?,"65,000 to 50,000 years ago"
What is one of the main sources of knowledge about the evolutionary process?,The fossil record
What percentage of DNA sequence similarity has been estimated between human and chimpanzee genomes as of 2012?,Between 95% and 99%
What percentage of DNA do mice share with humans?,97.5%
When did the hominin and chimpanzee lineages split?,Between 4 to 8 million years ago
When did the final divergence occur in the context mentioned?,5 to 6 million years ago
What is one way scientists use genetic evidence to compare species?,By comparing the parts of the genome that are not under natural selection and which therefore accumulate mutations at a fairly steady rate
What forms a haplogroup?,A single-nucleotide polymorphism
"When did the last female common ancestor whose genetic marker is found in all modern humans, also known as mitochondrial Eve, live?","200,000 years ago"
"According to recent scientific reports, what is a significant departure from previous understanding about human evolution?","Humans evolved from different places and times in Africa, instead of from a single location and period of time"
What is the estimated age of Sahelanthropus tchadensis?,7 million years ago
When did the australopithecines arise?,Around 4 million years ago
What is the number of fossil individuals representing Australopithecus afarensis?,more than 100
What is the name of the lithic technology developed by H. habilis?,Oldowan
What is the brain size of Homo rudolfensis compared to that of a chimpanzee?,about the same
What was the approximate time when cranial capacity had doubled during the encephalization process?,About 1.9 million years ago
Who is believed to be the first to use fire and complex tools?,H. erectus and H. ergaster
When did the earliest fossils of anatomically modern humans appear?,"300–200,000 years ago"
What is believed to be the origin of the Denisovans?,H. erectus
When did modern humans spread globally and replace earlier hominins?,"70–50,000 years BP"
When did the linear view of human evolution start to be abandoned?,The 1970s
"What year was evidence based on molecular biology published, revealing unambiguous examples of interbreeding between archaic and modern humans?",2010
What percentage of DNA is Neanderthal in non-African populations?,2%
What type of study was conducted by the Harvard Medical School/UCLA research team in 2016?,A comparative genomics study
What types of studies in the mid-2010s found traits related to various human phenotypes?,Comparative studies
What is suggested by genomic research to be a common occurrence in human evolution?,Hybridization between substantially diverged lineages
When did stone tools first appear?,2.6 million years ago
What is the approximate age of the oldest known stone tools in the world?,3 million years
"What is the age of the implements that are some 700,000 years older than stone tools from Ethiopia?",3.3 million years ago
When did ever more refined and specialized flint tools start being made?,"about 50,000 BP"
When did modern humans (Homo sapiens) migrate to Eurasia?,"About 50,000 years ago"
What is considered the modern synthesis of the process that Darwin and Wallace originally identified as the mechanism of evolution?,Evolutionary change
What is one purpose of quantifying adaptive evolution in the human genome?,It gives insights into our own evolutionary history and helps to resolve the neutralist-selectionist debate.
What is the null hypothesis that is tested by methods used to identify adaptive evolution?,neutral evolution
What is the expected value of omega (ω) under neutral evolution?,1
What is the expected relationship between the number of nonsynonymous substitutions and the selective pressure acting on a gene?,dN < dS; ω < 1
What is the symbol for the proportion of nonsynonymous substitutions which are adaptive in the McDonald–Kreitman test?,α
What is the formula for calculating α?,α = 1-(dspn/dnps)
What is one way to infer evidence of complete selective sweeps?,by comparing the patterns of the Site Frequency Spectrum (SFS) obtained with the SFS expected under a neutral model
What is the principle behind Linkage Disequilibrium (LD) tests?,"Assuming equal recombination rates, LD will rise with increasing natural selection"
What is a recent method used to detect selection in non-coding sequences?,Examination of insertions and deletions (indels)
What percentage of adaptive evolution was estimated in protein coding DNA according to Fay et al. (2001)?,35%
What percentage value of α does Zhang and Li (2005) estimate?,20%
What percentage of genes do Nielsen et al. (2005a) estimate have undergone adaptive evolution with a degree of certainty of 95% or more?,0.4%
What is the estimated percentage of adaptive evolution in the human genome according to the most recent study mentioned?,40%
What is the estimated range for α according to Boyko et al. (2008)?,10-20%
How many more genes underwent positive selection in chimpanzee evolution compared to human?,More
What percentage of chimpanzee genes showed evidence of adaptive evolution according to Bakewell et al. (2007)?,1.7%
What is an early estimate for α in Drosophila species?,45%
What is estimated to be the effect of increasing population size on altering allele frequencies?,Random genetic drift becomes less powerful
What do Ponting and Lunter (2006) speculate about the methods used to detect adaptive evolution in non-coding DNA?,They speculate that underestimates may be even more severe in non-coding DNA.
What percentage of the human genome is made up of non-coding DNA?,98%
What is thought to be the primary function of adaptive evolutionary non-coding DNA?,The regulation of protein coding sequences
"According to Andolfatto (2005), what percentage of untranslated mature portions of mRNAs have undergone adaptive evolution?",60%
What is still unanswered about the function of non-coding DNA?,What it performs in its entirety
When did humans spread out of Africa according to the consensus Out-of-Africa hypothesis?,"50,000 years ago"
"According to Voight et al. (2006), what was found regarding adaptive evolution in African populations compared to Non-African populations?",More adaptive evolution was found in Africans than in Non-Africans
What is the estimated rate of adaptive evolution in the human genome according to Fay et al. (2001)?,One adaptive substitution per 200 years
What is the time period during which there has been a large acceleration in the amount of positive selection in the human lineage?,"40,000 years"
"According to Hawks et al., what is a possible explanation for why the human population size has increased over time?","The dramatic expansion of the human population in the last 40,000 years"
What has been suggested to have replaced genetic evolution?,Cultural evolution
"According to Hawks et al. (2007), what has cultural evolution increased?",communication and contact between different populations
What is a possible reason why genetic adaptation may be reduced in modern humans?,Recent cultural phenomena such as modern medicine and smaller variation in family sizes
What has been attributed to different assumptions about the strength of selection in evolutionary models?,Discrepancies between estimates of adaptive evolution
What can make it difficult to accurately estimate the average strength of positive selection acting on the human genome?,New advantageous mutations are very rare
What was the goal of studying the average strength of positive selection in humans?,To produce more accurate estimates of the amount of adaptive evolution occurring in the human genome
"What percentage of positively selected genes are associated with diseases, according to Bakewell et al. (2007)?",9.7%
What is the likely reason for the link between schizophrenia and increased creativity?,The adaptive mutations may have been useful traits for obtaining food or attracting mates in Palaeolithic times.
How many genes in the testes showed evidence of adaptive evolution according to Nielsen et al.'s study?,247
What is an example of how sperm can improve their chances of fertilizing the female egg?,"increasing their speed, stamina or response to chemoattractants"
What type of farming was historically important in European and American populations?,pastoral farming for milk
What time period did humans leave Africa?,"approximately 50,000 years ago"
Is microcephaly a condition related to brain size?,True
What gene types show considerable evidence of adaptive evolution in humans?,"Genes on the X chromosome, nervous system genes, genes involved in apoptosis, genes coding for skeletal traits, and possibly genes associated with speech"
What is mentioned as potentially hindering the accurate detection of adaptive evolution?,Demographic changes and biased gene conversion
What can change the signatures thought to be characteristic of adaptive evolution?,Demographic changes
What concept refers to new mutations being propagated with a population expansion?,Surfing mutations
What is the expected outcome when a DNA mismatch is repaired in meiotic recombination?,"The repair mechanism leads to changing allele frequencies, resulting in a signature of non-neutral evolution"
"Initially, what was postulated about the role of BGC in the human genome?",That it could have been adaptive
What tends to be present in regions with high recombination rates?,HARs
What is the subject being suggested to be further investigated?,BGC (the subject's acronym not specified in the context)
What type of evolutionary theory was developed in the 1960s through early 1980s?,Dual inheritance theory
"According to the dual inheritance theory, does cultural change occur independently of gene changes?",False
What is the definition of 'Culture' used in this context?,socially learned behavior
What is an example of a potential bias in social learning?,success bias
What type of evolutionary structure is established when there are different rates of survival for different socially learned cultural variants?,Cultural evolution
What theory holds that genetic and cultural evolution interacted in the evolution of Homo sapiens?,DIT
What is one of the main claims made by DIT?,The human capacity to store and transmit culture arose from genetically evolved psychological mechanisms.
What is an example of a cultural trait that has led to genetic selection?,the cultural adoptions of agriculture and dairying
Does DIT predict that genetic selection can cause a refinement of the cognitive architecture that stores and transmits cultural information?,Yes
What is an example of demographic transition described in the context?,the fall of birth rates within industrialized societies
"According to the definition provided, what is meant by 'culture' in DIT?",socially learned information stored in individuals' brains that is capable of affecting behavior
What is one way genes affect cultural evolution?,via psychological predispositions on cultural learning
In which human populations does lactase production typically stop shortly after weaning?,East Asians and Amerindians
What is the estimated selection coefficient for lactase persistence in a Scandinavian population?,0.09-0.19
What factor has driven changes to the human digestive systems making many digestive organs smaller than expected for primates?,Culture
What is one way that cooking affects food?,partially breaks down food making it more easily digestible
What is one consequence of food entering the body partly digested?,The digestive system has to do less work
What percentage of the day do American girls and boys spend on average chewing?,7 to 8 percent
What percentage increase in digestibility of carbohydrates does cooking provide compared to not cooking?,30%
What is a major constraint in the selection for larger brains?,Calorie intake
What is one consequence of consuming a diet high in raw food?,A decrease in BMI
How many hours of feeding does a raw diet require according to the given context?,More than nine hours
When did brain size in the Homo lineage start to increase?,Well before the advent of cooking
When did Cornélio et al. argue that cooking came as a consequence of complex cognition?,much later
When did the origin of Homo erectus occur?,1.8 million years ago
What does Wrangham argue indicates the control of fire?,The loss of the ability to climb
What drives the rapid increase in brain size seen in the Homo lineage?,A positive feedback loop of increased mental capacity for cultural innovation leading to further gains in brain size
What are the five major mechanisms by which cultures evolve and maintain themselves in DIT?,"natural selection of cultural variants, random variation, cultural drift, guided variation and transmission bias"
What is one analogy between cultural evolution and biological evolution?,"Random variation arises from errors in the learning, display or recall of cultural information"
What is the primary factor contributing to the disappearance of cultural variants in small populations?,Sampling error
"What type of cultural process is suggested to explain changes in American baby names, archaeological pottery, technology patent applications, and the songs of song birds?",Cultural drift
What is one way cultural traits may be gained in a population?,Through the process of individual learning
Who defined and analytically modeled transmission biases in cultural transmission?,Boyd and Richerson
What is another term used to describe content biases?,Direct biases
What are the two major categories of context biases?,Model-based biases and frequency-dependent biases
What is a factor that can contribute to a 'prestige bias' in cultural modeling?,The amount of deference shown to a potential cultural model by other individuals
What type of bias results when individuals imitate cultural models that perform better at a specific skill?,A 'skill bias'
What is the most explored frequency-dependent bias?,The conformity bias
What type of bias results when individuals preferentially choose cultural variants that are less common in the population?,Rarity bias
What type of environment favors the evolution of social learning?,Environments that change with a frequency that genetic inheritance cannot track but not fast enough that individual learning is more efficient.
In what type of environmental settings is cultural learning considered most useful?,Moderately changing environments
