question,answer,retrieved_context,llm_answer,bert_precision,bert_recall,bert_f1,cosine_similarity,fuzzy_score
What is a characteristic humans developed over their evolutionary history?,"Traits such as bipedalism, dexterity, and complex language","--- # Human evolution Homo sapiens is a distinct species of the hominid family of primates, which also includes all the great apes. Over their evolutionary history, humans gradually developed traits such as bipedalism, dexterity, and complex language, as well as interbreeding with other hominins (a tribe of the African hominid subfamily), indicating that human evolution was not linear but weblike

. sapiens about 70,000 years ago, was controversial from its first proposal in the 1990s and by the 2010s had very little support. Distinctive human genetic variability has arisen as the result of the founder effect, by archaic admixture and by recent evolutionary pressures. Since Homo sapiens separated from its last common ancestor shared with chimpanzees, human evolution is characterized by a number of morphological, developmental, physiological, behavioral, and environmental changes

. This suggests many modern human adaptations represent phylogenetically deep traits and that the behavior and morphology of chimpanzees may have evolved subsequent to the split with the common ancestor they share with humans. The genus Australopithecus evolved in eastern Africa around 4 million years ago ","According to the context, some characteristics that humans developed over their evolutionary history include:

1. Bipedalism
2. Dexterity
3. Complex language

These traits were developed gradually and are mentioned as part of human evolution's ""weblike"" rather than linear history.",0.8305266499519348,0.8811014294624329,0.8550668358802795,0.65633154,95
When did primates diverge from other mammals?,About 85 million years ago (mya),". Primates produced successive clades leading to the ape superfamily, which gave rise to the hominid and the gibbon families; these diverged some 15–20 mya. African and Asian hominids (including orangutans) diverged about 14 mya. Hominins (including the Australopithecine and Panina subtribes) parted from the Gorillini tribe between 8 and 9 mya; Australopithecine (including the extinct biped ancestors of humans) separated from the Pan genus (containing chimpanzees and bonobos) 4–7 mya

. Molecular evidence indicates that the lineage of gibbons diverged from the line of great apes some 18–12 mya, and that of orangutans (subfamily Ponginae)[b] diverged from the other great apes at about 12 million years; there are no fossils that clearly document the ancestry of gibbons, which may have originated in a so-far-unknown Southeast Asian hominoid population, but fossil proto-orangutans may be represented by Sivapithecus from India and Griphopithecus from Turkey, dated to around 10 mya

. The study of the origins of humans involves several scientific disciplines, including physical and evolutionary anthropology, paleontology, and genetics; the field is also known by the terms anthropogeny, a","Based on the context, there is no information provided about when primates diverged from other mammals. The text only discusses the divergence of various primate clades and lineages within the primate group, but does not address the origin of primates themselves.",0.7878496646881104,0.7908923625946045,0.7893680930137634,0.21072769,29
When did hominins part from the Gorillini tribe?,Between 8 and 9 million years ago,". Hominidae subfamily Homininae (African hominids) diverged from Ponginae (orangutans) about 14 mya. Hominins (including humans and the Australopithecine and Panina subtribes) parted from the Gorillini tribe (gorillas) between 8 and 9 mya; Australopithecine (including the extinct biped ancestors of humans) separated from the Pan genus (containing chimpanzees and bonobos) 4–7 mya. The Homo genus is evidenced by the appearance of H

. About 9.5 million years ago, tropical forest in Europe was replaced by woodlands which were less suitable for great apes, and European Homininae (close to the Dryopithecini-Hominini split) appear to have migrated back to Africa where they would have diverged into Gorillini and Hominini. Plant fossils reveal that forests use to once extend ""from southern Europe, through Central Asia, and into China prior to the formation of the Himalayas""

. --- # Gorilla–human last common ancestor The gorilla–human last common ancestor (GHLCA, GLCA, or G/H LCA) is the last species that the tribes Hominini and Gorillini (i.e. the chimpanzee–human last common ancestor on one hand and gorillas on the other) share as a common ancestor. It is estimated to have lived 8 to 10 ","According to the context, hominins (including humans and the Australopithecine and Panina subtribes) parted from the Gorillini tribe between 8 and 9 million years ago.",0.7872034907341003,0.9345632791519165,0.8545774221420288,0.5677189,100
When did anatomically modern humans emerge?,"approximately 300,000 years ago",". Neanderthals and Denisovans emerge from the northern Homo heidelbergensis lineage around 500-450 ka while sapients emerge from the southern lineage around 350-300 ka. Fossils attributed to H. sapiens, along with stone tools, dated to approximately 300,000 years ago, found at Jebel Irhoud, Morocco yield the earliest fossil evidence for anatomically modern Homo sapiens. Modern human presence in East Africa (Gademotta), at 276 kya

. heidelbergensis and H. neanderthalensis. The earliest fossils of anatomically modern humans are from the Middle Paleolithic, about 300–200,000 years ago such as the Herto and Omo remains of Ethiopia, Jebel Irhoud remains of Morocco, and Florisbad remains of South Africa; later fossils from the Skhul Cave in Israel and Southern Europe begin around 90,000 years ago (0.09 million years ago). As modern humans spread out from Africa, they encountered other hominins such as H

. In September 2019, scientists reported the computerized determination, based on 260 CT scans, of a virtual skull shape of the last common human ancestor to anatomically modern humans, representative of the earliest modern humans, and suggested that modern humans arose between 260,000 ","According to the context, anatomically modern humans emerged around 300-200,000 years ago, with fossils found in various locations such as Jebel Irhoud (Morocco), Herto and Omo (Ethiopia), Florisbad (South Africa), Skhul Cave (Israel) and Southern Europe.",0.7509943246841431,0.9164645671844482,0.8255192041397095,0.666155,71
Where did a lineage leading to African apes and humans migrate from according to David R. Begun's conclusion?,Europe or Western Asia,". David R. Begun concluded that early primates flourished in Eurasia and that a lineage leading to the African apes and humans, including to Dryopithecus, migrated south from Europe or Western Asia into Africa

. It proposes that Homo sapiens evolved in Africa before migrating across the world."" And: ""The primary competing scientific hypothesis is currently recent African origin of modern humans, which proposes that modern humans arose as a new species in Africa around 100-200,000 years ago, moving out of Africa around 50-60,000 years ago to replace existing human species such as Homo erectus and the Neanderthals without interbreeding

. sapiens from H. erectus in Africa. A subsequent migration (both within and out of Africa) eventually replaced the earlier dispersed H. erectus. This migration and origin theory is usually referred to as the ""recent single-origin hypothesis"" or ""out of Africa"" theory. H. sapiens interbred with archaic humans both in Africa and in Eurasia, in Eurasia notably with Neanderthals and Denisovans. The Toba catastrophe theory, which postulates a population bottleneck for H

. This view proposes that the derivation of anatomically modern human populations fr","According to David R. Begun's conclusion, the migration occurred from Europe or Western Asia into Africa.",0.8411231637001038,0.9011719822883606,0.8701127767562866,0.37731013,100
What is the geographic location where the surviving tropical population of primates was found in fossil beds?,The Faiyum depression southwest of Cairo,". The surviving tropical population of primates—which is seen most completely in the Upper Eocene and lowermost Oligocene fossil beds of the Faiyum depression southwest of Cairo—gave rise to all extant primate species, including the lemurs of Madagascar, lorises of Southeast Asia, galagos or ""bush babies"" of Africa, and to the anthropoids, which are the Platyrrhines or New World monkeys, the Catarrhines or Old World monkeys, and the great apes, including humans and other hominids

. David R. Begun concluded that early primates flourished in Eurasia and that a lineage leading to the African apes and humans, including to Dryopithecus, migrated south from Europe or Western Asia into Africa

. Although most hominin fossils from Africa have been found in eastern and southern Africa, there are a few exceptions. One is Sahelanthropus tchadensis, discovered in the central African country of Chad in 2002. This find is important because it widens the assumed geographic range of early hominins. --- # List of fictional primates This list of fictional primates is a subsidiary to the list of fictional animals

. Fossils at 20 million years ago include fragments attributed to Victoriapithecus, th",The surviving tropical population of primates was found in fossil beds in the Faiyum depression southwest of Cairo.,0.877535343170166,0.9260210990905762,0.901126503944397,0.52143383,100
What was the age of the earliest known catarrhine?,24 million years ago,". The earliest known catarrhine is Kamoyapithecus from the uppermost Oligocene at Eragaleit in the northern Great Rift Valley in Kenya, dated to 24 million years ago. Its ancestry is thought to be species related to Aegyptopithecus, Propliopithecus, and Parapithecus from the Faiyum, at around 35 mya

. In 2010, Saadanius was described as a close relative of the last common ancestor of the crown catarrhines, and tentatively dated to 29–28 mya, helping to fill an 11-million-year gap in the fossil record. In the Early Miocene, about 22 million years ago, the many kinds of arboreally-adapted (tree-dwelling) primitive catarrhines from East Africa suggest a long history of prior diversification

. The individuals whose descendants would become Platyrrhini are conjectured to have migrated to South America either on a raft of vegetation or via a land bridge (the hypothesis now favored). Catarrhines mostly stayed in Africa as the two continents drifted apart. Possible early ancestors of catarrhines include Aegyptopithecus and Saadanius. Catarrhini splits into 2 superfamilies, Old World monkeys (Cercopithecoidea) and apes (Hominoidea)

. Human trichromatic color vision had its genetic origin","According to the context, the earliest known catarrhine is Kamoyapithecus, dated to 24 million years ago.",0.7923799157142639,0.9107981324195862,0.8474723696708679,0.3962288,100
What was the estimated age of Saadanius when it was first described in 2010?,29-28 million years ago,". In 2010, Saadanius was described as a close relative of the last common ancestor of the crown catarrhines, and tentatively dated to 29–28 mya, helping to fill an 11-million-year gap in the fossil record. In the Early Miocene, about 22 million years ago, the many kinds of arboreally-adapted (tree-dwelling) primitive catarrhines from East Africa suggest a long history of prior diversification

. In 1994, Meave Leakey discovered Australopithecus anamensis. The find was overshadowed by Tim D. White's 1995 discovery of Ardipithecus ramidus, which pushed back the fossil record to 4.2 million years ago. In 2000, Martin Pickford and Brigitte Senut discovered, in the Tugen Hills of Kenya, a 6-million-year-old bipedal hominin which they named Orrorin tugenensis. And in 2001, a team led by Michel Brunet discovered the skull of Sahelanthropus tchadensis which was dated as 7

. On October 1, 2009, paleontologists formally announced the discovery of the relatively complete A. ramidus fossil skeleton first unearthed in 1994. The fossil is the remains of a small-brained 50-kilogram (110 lb) female, nicknamed ""Ardi"", and includes most of the skull and teeth, as well as the pelvis, hands, and feet","According to the context, Saadanius was estimated to be around 29-28 million years old (mya) when it was first described in 2010.",0.8104131817817688,0.8940629959106445,0.8501855134963989,0.510862,90
What is the age of fossils that include fragments attributed to Victoriapithecus?,20 million years ago,". Fossils at 20 million years ago include fragments attributed to Victoriapithecus, the earliest Old World monkey. Among the genera thought to be in the ape lineage leading up to 13 million years ago are Proconsul, Rangwapithecus, Dendropithecus, Limnopithecus, Nacholapithecus, Equatorius, Nyanzapithecus, Afropithecus, Heliopithecus, and Kenyapithecus, all from East Africa

. LD 350-1, a fossil mandible fragment dated to 2.8 Mya, discovered in 2013 in Afar, Ethiopia, was described as combining ""primitive traits seen in early Australopithecus with derived morphology observed in later Homo. Some authors would push the development of Homo close to or even past 3 Mya.[e] This finds support in a recent phylogenetic study in hominins that by using morphological, molecular and radiometric information, dates the emergence of Homo at 3.3 Ma (4.30 – 2.56 Ma)

. Between 1999 and 2003, a multidisciplinary team led by Sileshi Semaw discovered bones and teeth of nine A. ramidus individuals at As Duma in the Gona area of Ethiopia's Afar Region. The fossils were dated to between 4.35 and 4.45 million years old. Ardipithecus ramidus had a small brain, measuring between 300 and 350 cm3

.[note 4] Th",The answer is 20 million years ago.,0.8809381127357483,0.9163693189620972,0.8983044624328613,0.8050363,100
What is mentioned as evidence of a wide diversity of primates during the Early and Middle Miocene?,The presence of other generalized non-cercopithecids from sites far distant,". But it is useless to speculate on this subject, for an ape nearly as large as a man, namely the Dryopithecus of Lartet, which was closely allied to the anthropomorphous Hylobates, existed in Europe during the Upper Miocene period; and since so remote a period the earth has certainly undergone many great revolutions, and there has been ample time for migration on the largest scale. In 1871, there were hardly any human fossils of ancient hominins available

. The presence of other generalized non-cercopithecids of Middle Miocene from sites far distant, such as Otavipithecus from cave deposits in Namibia, and Pierolapithecus and Dryopithecus from France, Spain and Austria, is evidence of a wide diversity of forms across Africa and the Mediterranean basin during the relatively warm and equable climatic regimes of the Early and Middle Miocene

. The surviving tropical population of primates—which is seen most completely in the Upper Eocene and lowermost Oligocene fossil beds of the Faiyum depression southwest of Cairo—gave rise to all extant primate species, including the lemurs of Madagascar, lorises of Southeast Asia, galagos or ""bush babies"" of Africa, and to the anthropoids, which","According to the context, the presence of other generalized non-cercopithecids such as Otavipithecus from Namibia, Pierolapithecus and Dryopithecus from France, Spain, and Austria is evidence of a wide diversity of primates during the Early and Middle Miocene.",0.8368861675262451,0.9168363809585571,0.8750388622283936,0.51825583,86
